Wall time,Step,Value
1617838788,5847,0.582919503
1617838869,5859,1.139541995
1617838889,5862,1.440194342
1617838903,5864,2.209363878
1617838951,5871,0.838362519
1617839018,5881,2.596420981
1617839073,5889,0.576597033
1617839086,5891,1.860428602
1617839100,5893,1.031729765
1617839120,5896,1.223548688
1617839133,5898,2.42880322
1617839195,5907,1.458223164
1617839262,5917,0.197261036
1617839269,5918,0.724573433
1617839337,5928,1.890576258
1617839364,5932,1.427497342
1617839371,5933,2.005182765
1617839499,5952,1.201284863
1617839533,5957,1.661700942
1617839547,5959,0.837327912
1617839554,5960,1.860027388
1617839574,5963,0.489527406
1617839635,5972,1.115679275
1617839757,5990,1.188950241
1617839893,6010,1.587113552
1617839927,6015,1.377632935
1617839954,6019,1.087836269
1617839961,6020,0.653134705
1617839988,6024,0.675623072
1617840029,6030,1.747966558
1617840036,6031,1.805255562
1617840042,6032,1.395364944
1617840063,6035,2.124867588
1617840083,6038,3.041526303
1617840178,6052,0.883404817
1617840212,6057,1.616542041
1617840233,6060,1.566729136
1617840348,6077,0.924588367
1617840355,6078,1.393614151
1617840382,6082,1.465443429
1617840415,6087,0.843491219
1617840463,6094,3.11970897
1617840524,6103,0.457765209
1617840538,6105,1.379365195
1617840605,6115,0.472990889
1617840646,6121,1.934619248
1617840660,6123,0.966309011
1617840701,6129,2.909857966
1617840714,6131,1.315398235
1617840728,6133,1.939097047
1617840776,6140,1.152590569
1617840811,6145,2.777191438
1617840824,6147,1.10811973
1617840838,6149,0.947264768
1617840892,6157,1.162895095
1617840993,6172,1.660299115
1617841021,6176,1.37871569
1617841055,6181,1.765841246
1617841075,6184,0.678735087
1617841185,6200,0.586583745
1617841253,6210,0.996759534
1617841260,6211,1.260508876
1617841273,6213,0.998530537
1617841314,6219,1.280148141
1617841321,6220,1.257316209
1617841354,6225,0.858789124
1617841402,6232,1.385683753
1617841436,6237,1.554559823
1617841456,6240,1.371814311
1617841483,6244,1.879756711
1617841524,6250,0.927579682
1617841612,6263,1.514316816
1617841659,6270,2.826850116
1617841788,6289,1.202229224
1617841923,6309,0.859185401
1617841944,6312,0.853152573
1617841971,6316,0.155674783
1617841978,6317,1.377707999
1617842025,6324,2.367758192
1617842140,6341,2.127103694
1617842215,6352,1.840966567
1617842289,6363,1.499944832
1617842336,6370,1.076386124
1617842377,6376,1.498538628
1617842540,6400,0.734003214
1617842695,6423,1.581204124
1617842756,6432,2.016051859
1617842858,6447,0.480462844
1617842865,6448,0.489146961
1617842912,6455,1.363844704
1617842939,6459,1.021997351
1617843007,6469,0.988276023
1617843028,6472,0.762593653
1617843035,6473,1.477964129
1617843103,6483,1.342689153
1617843130,6487,1.113757957
1617843184,6495,2.847363986
1617843191,6496,1.781235822
1617843219,6500,0.970136281
1617843280,6509,0.935722794
1617843287,6510,0.513183745
1617843355,6520,0.876092911
1617843361,6521,1.113919262
1617843368,6522,1.347269304
1617843424,6530,2.929168753
1617843451,6534,0.839485321
1617843457,6535,1.682804711
1617843559,6550,1.161403116
1617843616,6558,1.169074606
1617843718,6571,1.773839816
1617843741,6574,1.600171626
1617843772,6578,1.273876522
1617843787,6580,1.878855377
1617843794,6581,1.336561982
1617843815,6584,0.939911883
1617843838,6587,0.91748368
1617843893,6593,1.456045173
1617843903,6594,1.030944288
1617843970,6603,0.729317358
1617843994,6606,0.812638365
1617844073,6616,1.153260097
1617844108,6621,1.495175157
1617844350,6649,1.955939457
1617844409,6654,0.54611396
